Component Name,Type,Path,Usage Count,File Types,Used By Files
"WorkflowTagsContainer","local","@/components/WorkflowTagsContainer.vue",2,"component","components/MainHeader/WorkflowDetails.vue; components/MainHeader/WorkflowDetails.vue"
"BreakpointsObserver","local","@/components/BreakpointsObserver.vue",2,"component","components/MainHeader/WorkflowDetails.vue; components/MainHeader/WorkflowDetails.vue"
"MainSidebar","local","@/components/MainSidebar.vue",2,"component","components/MainSidebar.test.ts; components/MainSidebar.test.ts"
"MainSidebarSourceControl","local","@/components/MainSidebarSourceControl.vue",2,"component","components/MainSidebarSourceControl.test.ts; components/MainSidebarSourceControl.test.ts"
"AboutModal","local","@/components/AboutModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"CommunityPackageManageConfirmModal","local","@/components/CommunityPackageManageConfirmModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"CommunityPackageInstallModal","local","@/components/CommunityPackageInstallModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"ContactPromptModal","local","@/components/ContactPromptModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"InviteUsersModal","local","@/components/InviteUsersModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"CredentialsSelectModal","local","@/components/CredentialsSelectModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"DuplicateWorkflowDialog","local","@/components/DuplicateWorkflowDialog.vue",2,"component","components/Modals.vue; components/Modals.vue"
"ModalRoot","local","@/components/ModalRoot.vue",2,"component","components/Modals.vue; components/Modals.vue"
"WorkflowTagsManager","local","@/components/TagsManager/WorkflowTagsManager.vue",2,"component","components/Modals.vue; components/Modals.vue"
"AnnotationTagsManager","local","@/components/TagsManager/AnnotationTagsManager.ee.vue",2,"component","components/Modals.vue; components/Modals.vue"
"UpdatesPanel","local","@/components/UpdatesPanel.vue",2,"component","components/Modals.vue; components/Modals.vue"
"NpsSurvey","local","@/components/NpsSurvey.vue",2,"component","components/Modals.vue; components/Modals.vue"
"WorkflowSettings","local","@/components/WorkflowSettings.vue",2,"component","components/Modals.vue; components/Modals.vue"
"DeleteUserModal","local","@/components/DeleteUserModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"ActivationModal","local","@/components/ActivationModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"ImportCurlModal","local","@/components/ImportCurlModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"ApiKeyCreateOrEditModal","local","@/components/ApiKeyCreateOrEditModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"MfaSetupModal","local","@/components/MfaSetupModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"WorkflowShareModal","local","@/components/WorkflowShareModal.ee.vue",2,"component","components/Modals.vue; components/Modals.vue"
"EventDestinationSettingsModal","local","@/components/SettingsLogStreaming/EventDestinationSettingsModal.ee.vue",2,"component","components/Modals.vue; components/Modals.vue"
"SourceControlPullModal","local","@/components/SourceControlPullModal.ee.vue",2,"component","components/Modals.vue; components/Modals.vue"
"ExternalSecretsProviderModal","local","@/components/ExternalSecretsProviderModal.ee.vue",2,"component","components/Modals.vue; components/Modals.vue"
"DebugPaywallModal","local","@/components/DebugPaywallModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"WorkflowHistoryVersionRestoreModal","local","@/components/WorkflowHistory/WorkflowHistoryVersionRestoreModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"SetupWorkflowCredentialsModal","local","@/components/SetupWorkflowCredentialsModal/SetupWorkflowCredentialsModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
